run_id,event_id,fault_type,window_start,window_end,expanded_start,expanded_end,hit
run_007,event_01,pause,2026-06-17 09:57:17,2026-06-17 09:58:17,2026-06-17 09:56:17,2026-06-17 09:59:17,0
run_007,event_02,kill,2026-06-17 10:00:29,2026-06-17 10:01:29,2026-06-17 09:59:29,2026-06-17 10:02:29,1
run_007,event_03,pause,2026-06-17 10:03:47,2026-06-17 10:04:47,2026-06-17 10:02:47,2026-06-17 10:05:47,1
run_008,event_01,kill,2026-06-17 10:57:34,2026-06-17 10:58:34,2026-06-17 10:56:34,2026-06-17 10:59:34,1
run_008,event_02,pause,2026-06-17 11:00:31,2026-06-17 11:01:31,2026-06-17 10:59:31,2026-06-17 11:02:31,1
run_008,event_03,kill,2026-06-17 11:03:44,2026-06-17 11:04:44,2026-06-17 11:02:44,2026-06-17 11:05:44,1
run_009,event_01,kill,2026-06-17 12:01:42,2026-06-17 12:02:42,2026-06-17 12:00:42,2026-06-17 12:03:42,1
run_009,event_02,pause,2026-06-17 12:30:44,2026-06-17 12:31:44,2026-06-17 12:29:44,2026-06-17 12:32:44,0
run_009,event_03,pause,2026-06-17 12:43:23,2026-06-17 12:44:23,2026-06-17 12:42:23,2026-06-17 12:45:23,1
run_010,event_01,kill,2026-06-17 13:06:40,2026-06-17 13:07:40,2026-06-17 13:05:40,2026-06-17 13:08:40,1
run_010,event_02,pause,2026-06-17 13:34:35,2026-06-17 13:35:35,2026-06-17 13:33:35,2026-06-17 13:36:35,0
run_010,event_03,kill,2026-06-17 13:45:42,2026-06-17 13:46:42,2026-06-17 13:44:42,2026-06-17 13:47:42,0
